Date,Open,High,Low,Close
09/03/21,45.29999924,46.15000153,44.15000153,44.65000153
10/03/21,45,45.04999924,43.15000153,43.65000153
12/03/21,44.09999847,45.70000076,43.70000076,44.25
15/03/21,44.09999847,44.40000153,41.54999924,42.90000153
16/03/21,43.40000153,43.54999924,42.40000153,42.54999924
17/03/21,42.70000076,43.40000153,40.54999924,41
18/03/21,41.59999847,42.45000076,40.15000153,41.40000153
19/03/21,40.84999847,42.45000076,39.09999847,41
22/03/21,41.34999847,42.90000153,40.95000076,41.84999847
23/03/21,42,43.70000076,42,42.70000076
24/03/21,42.34999847,43.15000153,41.20000076,41.65000153
25/03/21,41.70000076,41.75,39.79999924,40.54999924
26/03/21,41,41.29999924,40.04999924,40.84999847
30/03/21,41.45000076,43.34999847,41.09999847,42.5
31/03/21,42.40000153,43,42,42.5
01/04/21,42.79999924,44.34999847,42.65000153,43.84999847
05/04/21,43.5,44.40000153,41.70000076,42.29999924
06/04/21,42.59999847,43.09999847,42.04999924,42.59999847
07/04/21,42.79999924,45.15000153,42.59999847,44.09999847
08/04/21,44.29999924,46.70000076,44.09999847,46.09999847
09/04/21,46.65000153,47.79999924,44.65000153,45.45000076
12/04/21,44,44,41.5,42.04999924
13/04/21,43.40000153,43.40000153,41.59999847,42.45000076
15/04/21,42.40000153,42.95000076,41.20000076,41.90000153
16/04/21,41.79999924,43.29999924,41.65000153,42.59999847
19/04/21,41.04999924,42.09999847,40.29999924,41.75
20/04/21,42.90000153,43.40000153,41.25,41.65000153
22/04/21,41.65000153,42.34999847,41.09999847,41.75
23/04/21,41.5,43.29999924,41.5,41.84999847
26/04/21,42.04999924,42.84999847,42,42.29999924
27/04/21,42.59999847,42.65000153,41.90000153,42.04999924
28/04/21,42.5,43.79999924,41.90000153,43.09999847
29/04/21,43.5,43.70000076,42.04999924,43.04999924
30/04/21,46.45000076,47.54999924,45.5,45.65000153
03/05/21,45.20000076,46.75,44.79999924,46
04/05/21,46.5,47.29999924,45,45.20000076
05/05/21,45.65000153,46.34999847,45,45.5
06/05/21,45.79999924,48.70000076,45.09999847,47.5
07/05/21,47.90000153,50.34999847,46.40000153,48.90000153
10/05/21,49.59999847,50.40000153,48.20000076,48.5
11/05/21,47.5,49.20000076,47.25,48.15000153
12/05/21,48.25,48.75,47.20000076,47.45000076
14/05/21,47.84999847,47.95000076,45.59999847,46.40000153
17/05/21,46.5,48.09999847,46.20000076,47.15000153
18/05/21,47.75,49.70000076,47.25,48.45000076
19/05/21,49.5,50.45000076,48.5,48.70000076
20/05/21,48.70000076,51.20000076,48,49.45000076
21/05/21,49.79999924,52.70000076,49.65000153,50.84999847
24/05/21,51.29999924,51.75,50.34999847,50.70000076
